number;title
96;Весенние заморозки в России: аграрии столкнулись с массовой гибелью посевов
97;Мэр: средняя зарплата в Томске выросла почти на 20%
98;Ипотека в Томской области рухнула на 54% в марте 2025г
99;Цены на квартиры в новостройках Томска снизились на 0,7% в апреле 2025г
100;Картофель в томских магазинах продолжает дорожать
101;«Молочка» в Томской области за год подорожала на 24%, кофе и чай — на 18%
102;Промышленное производство в Томской области сократилось на 4%. Эксперты говорят о переходе к рецессии в РФ
103;ЦБ вновь сохранил ключевую ставку в 21%
104;Цены на говядину в Томске остаются самыми высокими в Сибири
105;Счетная палата Томской области нашла в бюджете нарушений на 5,1 млрд руб
106;Пока помидоры дорожают, огурцы в Томской области наконец-то подешевели
107;Цены на квартиры в Томске снизились на 2,4% в марте 2025г
108;Состояние основателя холдинга KDV Дениса Штенгелова выросло до $1,4 млрд
109;Чистая прибыль ТДСК за год сократилась на 27,5%
110;Рост цен на картофель и сосиски подстегнули инфляцию в Томской области
111;Цены 15-летней давности и долги: почему каждый пятый грузоперевозчик уходит с рынка
112;Число взятых ипотек в Томской области снизилось вдвое в феврале 2025г
113;В Томске снизили ставки налога на имущество физлиц
114;Стоимость основных овощей в томских магазинах выросла почти на 50%
115;Картофель в томских магазинах подорожал на 125%. Цены доходят до 160 руб/кг
116;Томская область хочет в 1,5 раза увеличить долю высокотехнологичного сектора в ВРП
117;Объем вкладов жителей Томской области вырос на 21%
118;Из списка социально значимых товаров предложили исключить продукты, которые стали премиальными
119;Центробанк в третий раз подряд сохранил ключевую ставку на уровне 21%
120;Производство алкоголя в Томской области выросло на 19%
121;После легализации такси — новая угроза: как закон о локализации может вернуть томских водителей в «тень»
122;Капуста, цветы и изготовление гробов сильно подорожали в Томской области в феврале
123;Власти назвали среднюю зарплату в сельском хозяйстве Томской области
124;Взять ипотеку со взносом ниже 20% станет почти нереально
125;Производители предупредили о росте цен на пиво
126;ЦБ держит ставку, банки — нет: почему кредиты подорожали до 37%?
127;ЦБ: объем кредитования бизнеса в Томской области не изменился за 2024г
128;Более 25 тыс жителей Томской области установили самозапрет на кредиты. Что это такое и как оформить?
129;Правительство предложило добавлять в кредитную историю рассрочки от 50 тыс руб
130;Власти: производство одежды в Томской области растет, а местные бренды выходят на новые рынки
131;Только 20% машин такси в Томской области подходят под законопроект о локализации
132;Банк России отложил массовое внедрение цифрового рубля
133;Годовая инфляция в Томской области достигла 9,95% в январе
134;Ставки по вкладам опустились ниже ключевой. Почему они теряют доходность и чего ждать дальше?
135;Огурцы продолжают расти в цене — Томскстат
136;Банк России сохранил ключевую ставку на уровне 21%, несмотря на рост инфляции
137;Власти: в Томской области нет иностранных инвестиций
138;Производство сливочного масла в Томской области выросло на 30%, а цена — на 67%
139;Потребкредиты от 200 тыс руб будут выдавать только через двое суток
140;Власти назвали размер средней зарплаты в Томской области
141;Банки стали отклонять 95 заявок на потребкредиты из 100. Что стоит за этой тенденцией?
142;Томск избежал резких скачков: арендные ставки меняются умеренно, в отличие от других регионов России
143;Власти оценят целесообразность введения турналога в Томске
144;Рассрочка от 60 тыс руб попадет в кредитную историю
145;Настоящая инфляция: как мы нашли старые фото из супермаркета и удивились ценам
146;Повышение налогов для людей и бизнеса. Главное из реформы-2025
147;Перевозчики просят мэрию повысить стоимость проезда в маршрутках Томска до 37-40 руб
148;Экспорт мяса птицы из Томской области кратно вырос в 2024г
149;Слабый рубль, издержки переработчиков мяса и молока ускорили инфляцию в Томской области
150;Индексация пенсий не успевает за инфляцией
151;Ситуация близка к катастрофе: томский бизнес и ЦБ обсудили, что происходит с экономикой
152;Годовая инфляция в России превысила 10%
153;Картофель в томских магазинах подорожал вдвое
154;Бензин дороже денег: как изменилась стоимость топлива в Томской области за год и что ждать в 2025г?
155;Огурцы, картофель и капуста сильнее всего подорожали в Томской области за декабрь
156;Росстат оценил инфляцию в 9,52% по итогам 2024г. Продукты подорожали намного сильнее
157;Губернатор увеличил зарплатный фонд для чиновников Томской области. Хватит ли этих денег?
158;Центробанк ответил, будет ли заморозка вкладов в России
159;Квадратный метр в новостройках Томска за год подорожал на 31% и достиг 176 тыс руб
160;Что изменится в сфере финансов для россиян с 2025г
161;Количество займов «до зарплаты» сократилось в Томской области на 58%
162;Что подорожает для томичей в 2025г?
163;Более 80% собранных в Томской области налогов ушли в федеральный бюджет
164;Томская область приняла сбалансированный бюджет на 2025г
165;Бюджет Томска на 2025г приняли с дефицитом в 1,3 млрд руб
166;Зарплата водителей троллейбусов в Томске вырастет на 30%, трамваев — на 8%
167;Центробанк неожиданно сохранил ключевую ставку на уровне 21%
168;Путин назвал высокую инфляцию тревожным сигналом
169;Стало известно, насколько вырастут тарифы ЖКХ в Томске. Сильнее всего подорожает вывоз мусора
170;Квадратный метр в новостройках Томска подорожал до 150 тыс руб — исследование
171;Депутат предложил ввести в России талоны на еду
172;Производители конфет предупредили о росте цен
173;Цена на сливочное масло в Томской области выросла до 1200 руб/кг
174;Обновленные 5-тысячные банкноты появились в Томске
175;Инфляция ускорится до 9% к концу года в России. Прогнозы экспертов — СМИ
