text;processed;tokenized;lemmatized
СМИ: на одного томича приходится почти 300 тыс руб долгов перед банками;сми на одного томича приходится почти 300 тыс руб долгов перед банками;['сми', 'на', 'одного', 'томича', 'приходится', 'почти', '300', 'тыс', 'руб', 'долгов', 'перед', 'банками'];['сми', 'на', 'одного', 'томич', 'приходиться', 'почти', '300', 'тыс', 'руб', 'долг', 'перед', 'банк']
Жители Томской области взяли более 1 тыс ипотечных кредитов со ставкой до 3%;жители томской области взяли более 1 тыс ипотечных кредитов со ставкой до 3;['жители', 'томской', 'области', 'взяли', 'более', '1', 'тыс', 'ипотечных', 'кредитов', 'со', 'ставкой', 'до', '3'];['житель', 'томский', 'область', 'взять', 'более', '1', 'тыс', 'ипотечный', 'кредит', 'со', 'ставка', 'до', '3']
Оборот розничной торговли в Томской области вырос на 2%;оборот розничной торговли в томской области вырос на 2;['оборот', 'розничной', 'торговли', 'в', 'томской', 'области', 'вырос', 'на', '2'];['оборот', 'розничный', 'торговля', 'в', 'томский', 'область', 'вырасти', 'на', '2']
СМИ: Минтруд планирует изменить подход к оценке бедности;сми минтруд планирует изменить подход к оценке бедности;['сми', 'минтруд', 'планирует', 'изменить', 'подход', 'к', 'оценке', 'бедности'];['сми', 'минтруд', 'планировать', 'изменить', 'подход', 'к', 'оценка', 'бедность']
Стоимость красной икры в России достигла исторического максимума;стоимость красной икры в россии достигла исторического максимума;['стоимость', 'красной', 'икры', 'в', 'россии', 'достигла', 'исторического', 'максимума'];['стоимость', 'красный', 'икра', 'в', 'россия', 'достигнуть', 'исторический', 'максимум']
Российские производители предупредили о повышении цен на сладости;российские производители предупредили о повышении цен на сладости;['российские', 'производители', 'предупредили', 'о', 'повышении', 'цен', 'на', 'сладости'];['российский', 'производитель', 'предупредить', 'о', 'повышение', 'цена', 'на', 'сладость']
ЦБ: рост цен на мясо и картофель ускорил инфляцию в Томской области;цб рост цен на мясо и картофель ускорил инфляцию в томской области;['цб', 'рост', 'цен', 'на', 'мясо', 'и', 'картофель', 'ускорил', 'инфляцию', 'в', 'томской', 'области'];['цб', 'рост', 'цена', 'на', 'мясо', 'и', 'картофель', 'ускорить', 'инфляция', 'в', 'томский', 'область']
ВТБ в два раза ускорил работу мобильного приложения;втб в два раза ускорил работу мобильного приложения;['втб', 'в', 'два', 'раза', 'ускорил', 'работу', 'мобильного', 'приложения'];['втб', 'в', 'два', 'раз', 'ускорить', 'работа', 'мобильный', 'приложение']
Власти объяснили, почему бюджет Томской области на 2022г сформирован с профицитом;власти объяснили почему бюджет томской области на 2022г сформирован с профицитом;['власти', 'объяснили', 'почему', 'бюджет', 'томской', 'области', 'на', '2022', 'г', 'сформирован', 'с', 'профицитом'];['власть', 'объяснить', 'почему', 'бюджет', 'томский', 'область', 'на', '2022', 'г', 'сформировать', 'с', 'профицит']
Эксперты рассказали, как в России растет рынок онлайн-торговли;эксперты рассказали как в россии растет рынок онлайн торговли;['эксперты', 'рассказали', 'как', 'в', 'россии', 'растет', 'рынок', 'онлайн', 'торговли'];['эксперт', 'рассказать', 'как', 'в', 'россия', 'расти', 'рынок', 'онлайн', 'торговля']
KDV запускает сеть для продажи косметики и товаров гигиены;запускает сеть для продажи косметики и товаров гигиены;['запускает', 'сеть', 'для', 'продажи', 'косметики', 'и', 'товаров', 'гигиены'];['запускать', 'сеть', 'для', 'продажа', 'косметика', 'и', 'товар', 'гигиена']
В Банке России рассказали о жалобах томичей на кибермошенничество;в банке россии рассказали о жалобах томичей на кибермошенничество;['в', 'банке', 'россии', 'рассказали', 'о', 'жалобах', 'томичей', 'на', 'кибермошенничество'];['в', 'банк', 'россия', 'рассказать', 'о', 'жалоба', 'томич', 'на', 'кибермошенничество']
Минфин предложил повысить с 2022г минимальную розничную цену на водку;минфин предложил повысить с 2022г минимальную розничную цену на водку;['минфин', 'предложил', 'повысить', 'с', '2022', 'г', 'минимальную', 'розничную', 'цену', 'на', 'водку'];['минфин', 'предложить', 'повысить', 'с', '2022', 'г', 'минимальный', 'розничный', 'цена', 'на', 'водка']
Рыбозавод на севере Томской области планирует выйти на рынки Беларуси и Казахстана;рыбозавод на севере томской области планирует выйти на рынки беларуси и казахстана;['рыбозавод', 'на', 'севере', 'томской', 'области', 'планирует', 'выйти', 'на', 'рынки', 'беларуси', 'и', 'казахстана'];['рыбозавод', 'на', 'север', 'томский', 'область', 'планировать', 'выйти', 'на', 'рынок', 'беларусь', 'и', 'казахстан']
Придется раскошелиться: как выросли цены на мясо птицы и свинину в Томской области;придется раскошелиться как выросли цены на мясо птицы и свинину в томской области;['придется', 'раскошелиться', 'как', 'выросли', 'цены', 'на', 'мясо', 'птицы', 'и', 'свинину', 'в', 'томской', 'области'];['прийтись', 'раскошелиться', 'как', 'вырасти', 'цена', 'на', 'мясо', 'птица', 'и', 'свинина', 'в', 'томский', 'область']
СМИ: в России собираются повысить цены на интернет и ТВ;сми в россии собираются повысить цены на интернет и тв;['сми', 'в', 'россии', 'собираются', 'повысить', 'цены', 'на', 'интернет', 'и', 'тв'];['сми', 'в', 'россия', 'собираться', 'повысить', 'цена', 'на', 'интернет', 'и', 'тв']
Эксперты рассказали о росте цен на продукты и услуги в Томске за месяц;эксперты рассказали о росте цен на продукты и услуги в томске за месяц;['эксперты', 'рассказали', 'о', 'росте', 'цен', 'на', 'продукты', 'и', 'услуги', 'в', 'томске', 'за', 'месяц'];['эксперт', 'рассказать', 'о', 'рост', 'цена', 'на', 'продукт', 'и', 'услуга', 'в', 'томск', 'за', 'месяц']
ЦБ: число найденных банками фальшивых купюр выросло в Томской области в 2 раза;цб число найденных банками фальшивых купюр выросло в томской области в 2 раза;['цб', 'число', 'найденных', 'банками', 'фальшивых', 'купюр', 'выросло', 'в', 'томской', 'области', 'в', '2', 'раза'];['цб', 'число', 'найти', 'банк', 'фальшивый', 'купюра', 'вырасти', 'в', 'томский', 'область', 'в', '2', 'раз']
Минимальный продуктовый набор в Томской области подорожал на 8%;минимальный продуктовый набор в томской области подорожал на 8;['минимальный', 'продуктовый', 'набор', 'в', 'томской', 'области', 'подорожал', 'на', '8'];['минимальный', 'продуктовый', 'набор', 'в', 'томский', 'область', 'подорожать', 'на', '8']
Продленные ковид-каникулы в Томской области. Главное;продленные ковид каникулы в томской области главное;['продленные', 'ковид', 'каникулы', 'в', 'томской', 'области', 'главное'];['продленные', 'ковид', 'каникулы', 'в', 'томский', 'область', 'главный']
ВТБ: каждая седьмая атака мошенников стала «гибридной»;втб каждая седьмая атака мошенников стала гибридной;['втб', 'каждая', 'седьмая', 'атака', 'мошенников', 'стала', 'гибридной'];['втб', 'каждый', 'седьмой', 'атака', 'мошенник', 'стать', 'гибридный']
Томские власти: бизнес не обязан проверять подлинность прививочных сертификатов;томские власти бизнес не обязан проверять подлинность прививочных сертификатов;['томские', 'власти', 'бизнес', 'не', 'обязан', 'проверять', 'подлинность', 'прививочных', 'сертификатов'];['томский', 'власть', 'бизнес', 'не', 'обязанный', 'проверять', 'подлинность', 'прививочный', 'сертификат']
Цены на жилье в Томской области продолжают расти;цены на жилье в томской области продолжают расти;['цены', 'на', 'жилье', 'в', 'томской', 'области', 'продолжают', 'расти'];['цена', 'на', 'жильё', 'в', 'томский', 'область', 'продолжать', 'расти']
Томичи в 2021г взяли на 35% больше кредиток, чем годом ранее;томичи в 2021г взяли на 35 больше кредиток чем годом ранее;['томичи', 'в', '2021', 'г', 'взяли', 'на', '35', 'больше', 'кредиток', 'чем', 'годом', 'ранее'];['томич', 'в', '2021', 'г', 'взять', 'на', '35', 'больше', 'кредитка', 'чем', 'год', 'ранее']
Власти ответят на вопросы бизнесменов о работе в условиях ковидных ограничений;власти ответят на вопросы бизнесменов о работе в условиях ковидных ограничений;['власти', 'ответят', 'на', 'вопросы', 'бизнесменов', 'о', 'работе', 'в', 'условиях', 'ковидных', 'ограничений'];['власть', 'ответить', 'на', 'вопрос', 'бизнесмен', 'о', 'работа', 'в', 'условие', 'ковидных', 'ограничение']
Горожане могут высказать замечания к проекту бюджета Томска на 2022г. Слушания пройдут 23 ноября;горожане могут высказать замечания к проекту бюджета томска на 2022г слушания пройдут 23 ноября;['горожане', 'могут', 'высказать', 'замечания', 'к', 'проекту', 'бюджета', 'томска', 'на', '2022', 'г', 'слушания', 'пройдут', '23', 'ноября'];['горожанин', 'мочь', 'высказать', 'замечание', 'к', 'проект', 'бюджет', 'томск', 'на', '2022', 'г', 'слушание', 'пройти', '23', 'ноябрь']
Бюджет Томска на 2022г сформирован с дефицитом почти в 800 млн руб;бюджет томска на 2022г сформирован с дефицитом почти в 800 млн руб;['бюджет', 'томска', 'на', '2022', 'г', 'сформирован', 'с', 'дефицитом', 'почти', 'в', '800', 'млн', 'руб'];['бюджет', 'томск', 'на', '2022', 'г', 'сформировать', 'с', 'дефицит', 'почти', 'в', '800', 'млн', 'руб']
Годовая инфляция в России приблизилась к 8%;годовая инфляция в россии приблизилась к 8;['годовая', 'инфляция', 'в', 'россии', 'приблизилась', 'к', '8'];['годовой', 'инфляция', 'в', 'россия', 'приблизиться', 'к', '8']
ФНС не будет принимать томичей с 1 по 3 ноября;фнс не будет принимать томичей с 1 по 3 ноября;['фнс', 'не', 'будет', 'принимать', 'томичей', 'с', '1', 'по', '3', 'ноября'];['фнс', 'не', 'быть', 'принимать', 'томичей', 'с', '1', 'по', '3', 'ноябрь']
Томская область озвучила меры поддержки бизнесу в период ковидных ограничений;томская область озвучила меры поддержки бизнесу в период ковидных ограничений;['томская', 'область', 'озвучила', 'меры', 'поддержки', 'бизнесу', 'в', 'период', 'ковидных', 'ограничений'];['томский', 'область', 'озвучить', 'мера', 'поддержка', 'бизнес', 'в', 'период', 'ковидных', 'ограничение']
В России зафиксирован рост числа выданных новых кредитных карт;в россии зафиксирован рост числа выданных новых кредитных карт;['в', 'россии', 'зафиксирован', 'рост', 'числа', 'выданных', 'новых', 'кредитных', 'карт'];['в', 'россия', 'зафиксировать', 'рост', 'число', 'выдать', 'новый', 'кредитный', 'карта']
Российские производители предупредили о росте цен на гречку и овсянку;российские производители предупредили о росте цен на гречку и овсянку;['российские', 'производители', 'предупредили', 'о', 'росте', 'цен', 'на', 'гречку', 'и', 'овсянку'];['российский', 'производитель', 'предупредить', 'о', 'рост', 'цена', 'на', 'гречка', 'и', 'овсянка']
Более 118 млн руб выделено томским семьям из облбюджета на компенсацию оплаты за детсады;более 118 млн руб выделено томским семьям из облбюджета на компенсацию оплаты за детсады;['более', '118', 'млн', 'руб', 'выделено', 'томским', 'семьям', 'из', 'облбюджета', 'на', 'компенсацию', 'оплаты', 'за', 'детсады'];['более', '118', 'млн', 'руб', 'выделить', 'томский', 'семья', 'из', 'облбюджета', 'на', 'компенсация', 'оплата', 'за', 'детсад']
ЦБ: томичи стали меньше брать быстрых микрозаймов «до зарплаты»;цб томичи стали меньше брать быстрых микрозаймов до зарплаты;['цб', 'томичи', 'стали', 'меньше', 'брать', 'быстрых', 'микрозаймов', 'до', 'зарплаты'];['цб', 'томич', 'стать', 'маленький', 'брать', 'быстрый', 'микрозаймов', 'до', 'зарплата']
Народные новости: обещанного три года ждут;народные новости обещанного три года ждут;['народные', 'новости', 'обещанного', 'три', 'года', 'ждут'];['народный', 'новость', 'обещать', 'три', 'год', 'ждать']
ЦБ повысил ключевую ставку сразу до 7,5%;цб повысил ключевую ставку сразу до 7 5;['цб', 'повысил', 'ключевую', 'ставку', 'сразу', 'до', '7', '5'];['цб', 'повысить', 'ключевой', 'ставка', 'сразу', 'до', '7', '5']
ВТБ запустил цифровую экосистему для международного бизнеса;втб запустил цифровую экосистему для международного бизнеса;['втб', 'запустил', 'цифровую', 'экосистему', 'для', 'международного', 'бизнеса'];['втб', 'запустить', 'цифровой', 'экосистема', 'для', 'международный', 'бизнес']
«Где деньги, Зин?»: власти пояснили, куда ушел 1 млрд руб, выделенный для роста зарплат томских бюджетников;где деньги зин власти пояснили куда ушел 1 млрд руб выделенный для роста зарплат томских бюджетников;['где', 'деньги', 'зин', 'власти', 'пояснили', 'куда', 'ушел', '1', 'млрд', 'руб', 'выделенный', 'для', 'роста', 'зарплат', 'томских', 'бюджетников'];['где', 'деньга', 'зина', 'власть', 'пояснить', 'куда', 'уйти', '1', 'млрд', 'руб', 'выделенный', 'для', 'рост', 'зарплата', 'томский', 'бюджетник']
Разовые гранты и льготные кредиты: бизнесу озвучили меры поддержки из-за каникул;разовые гранты и льготные кредиты бизнесу озвучили меры поддержки из за каникул;['разовые', 'гранты', 'и', 'льготные', 'кредиты', 'бизнесу', 'озвучили', 'меры', 'поддержки', 'из', 'за', 'каникул'];['разовый', 'грант', 'и', 'льготный', 'кредит', 'бизнес', 'озвучить', 'мера', 'поддержка', 'из', 'за', 'каникул']
ВТБ признан лучшим банком для малого и среднего бизнеса в России по версии Global Finance;втб признан лучшим банком для малого и среднего бизнеса в россии по версии;['втб', 'признан', 'лучшим', 'банком', 'для', 'малого', 'и', 'среднего', 'бизнеса', 'в', 'россии', 'по', 'версии'];['втб', 'признать', 'хороший', 'банк', 'для', 'малый', 'и', 'средний', 'бизнес', 'в', 'россия', 'по', 'версия']
ЦБ: выдача ипотеки на жилье в томских новостройках резко сократилась на 40%;цб выдача ипотеки на жилье в томских новостройках резко сократилась на 40;['цб', 'выдача', 'ипотеки', 'на', 'жилье', 'в', 'томских', 'новостройках', 'резко', 'сократилась', 'на', '40'];['цб', 'выдача', 'ипотека', 'на', 'жильё', 'в', 'томский', 'новостройка', 'резко', 'сократиться', 'на', '40']
Предприниматели могут получить гарантии ВТБ для участия в госзакупках онлайн;предприниматели могут получить гарантии втб для участия в госзакупках онлайн;['предприниматели', 'могут', 'получить', 'гарантии', 'втб', 'для', 'участия', 'в', 'госзакупках', 'онлайн'];['предприниматель', 'мочь', 'получить', 'гарантия', 'втб', 'для', 'участие', 'в', 'госзакупка', 'онлайн']
Томские продавцы могут торговать через Яндекс.Маркет;томские продавцы могут торговать через яндекс маркет;['томские', 'продавцы', 'могут', 'торговать', 'через', 'яндекс', 'маркет'];['томский', 'продавец', 'мочь', 'торговать', 'через', 'яндекс', 'маркет']
Томскстат сообщил о небольшом снижении цен на бензин в сентябре;томскстат сообщил о небольшом снижении цен на бензин в сентябре;['томскстат', 'сообщил', 'о', 'небольшом', 'снижении', 'цен', 'на', 'бензин', 'в', 'сентябре'];['томскстат', 'сообщить', 'о', 'небольшой', 'снижение', 'цена', 'на', 'бензин', 'в', 'сентябрь']
Искусство кешбэка;искусство кешбэка;['искусство', 'кешбэка'];['искусство', 'кешбэка']
Готовим кошельки: как изменился налог на имущество;готовим кошельки как изменился налог на имущество;['готовим', 'кошельки', 'как', 'изменился', 'налог', 'на', 'имущество'];['готовить', 'кошелёк', 'как', 'измениться', 'налог', 'на', 'имущество']
Помидоры, огурцы и фруктовые соки сильнее всего подорожали в Томске за месяц;помидоры огурцы и фруктовые соки сильнее всего подорожали в томске за месяц;['помидоры', 'огурцы', 'и', 'фруктовые', 'соки', 'сильнее', 'всего', 'подорожали', 'в', 'томске', 'за', 'месяц'];['помидор', 'огурец', 'и', 'фруктовый', 'сок', 'сильный', 'всего', 'подорожать', 'в', 'томск', 'за', 'месяц']
Минэкономразвития дало прогноз по росту цен на продукты к концу года;минэкономразвития дало прогноз по росту цен на продукты к концу года;['минэкономразвития', 'дало', 'прогноз', 'по', 'росту', 'цен', 'на', 'продукты', 'к', 'концу', 'года'];['минэкономразвития', 'дать', 'прогноз', 'по', 'рост', 'цена', 'на', 'продукт', 'к', 'конец', 'год']
Власти: количество безработных в Томской области снизилось в 4 раза;власти количество безработных в томской области снизилось в 4 раза;['власти', 'количество', 'безработных', 'в', 'томской', 'области', 'снизилось', 'в', '4', 'раза'];['власть', 'количество', 'безработный', 'в', 'томский', 'область', 'снизиться', 'в', '4', 'раз']
«Томскстройзаказчик» выставят на продажу за 208 млн руб;томскстройзаказчик выставят на продажу за 208 млн руб;['томскстройзаказчик', 'выставят', 'на', 'продажу', 'за', '208', 'млн', 'руб'];['томскстройзаказчик', 'выставить', 'на', 'продажа', 'за', '208', 'млн', 'руб']
САХ получит более 11 млн руб из бюджета Томска на тушение мусорного полигона;сах получит более 11 млн руб из бюджета томска на тушение мусорного полигона;['сах', 'получит', 'более', '11', 'млн', 'руб', 'из', 'бюджета', 'томска', 'на', 'тушение', 'мусорного', 'полигона'];['сах', 'получить', 'более', '11', 'млн', 'руб', 'из', 'бюджет', 'томск', 'на', 'тушение', 'мусорный', 'полигон']
Томичи за полгода потратили почти 130 млрд руб, рассчитываясь с помощью банковских карт;томичи за полгода потратили почти 130 млрд руб рассчитываясь с помощью банковских карт;['томичи', 'за', 'полгода', 'потратили', 'почти', '130', 'млрд', 'руб', 'рассчитываясь', 'с', 'помощью', 'банковских', 'карт'];['томич', 'за', 'полгода', 'потратить', 'почти', '130', 'млрд', 'руб', 'рассчитываться', 'с', 'помощь', 'банковский', 'карта']
Бюджет Томской области на 2022г сформирован с профицитом в 3,9 млрд руб;бюджет томской области на 2022г сформирован с профицитом в 3 9 млрд руб;['бюджет', 'томской', 'области', 'на', '2022', 'г', 'сформирован', 'с', 'профицитом', 'в', '3', '9', 'млрд', 'руб'];['бюджет', 'томский', 'область', 'на', '2022', 'г', 'сформировать', 'с', 'профицит', 'в', '3', '9', 'млрд', 'руб']
Холдинг «КДВ Групп» поднялся на несколько позиций в рейтинге Forbes;холдинг кдв групп поднялся на несколько позиций в рейтинге;['холдинг', 'кдв', 'групп', 'поднялся', 'на', 'несколько', 'позиций', 'в', 'рейтинге'];['холдинг', 'кдв', 'группа', 'подняться', 'на', 'несколько', 'позиция', 'в', 'рейтинг']
Годовая инфляция в России превысила 7% и установила новый рекорд;годовая инфляция в россии превысила 7 и установила новый рекорд;['годовая', 'инфляция', 'в', 'россии', 'превысила', '7', 'и', 'установила', 'новый', 'рекорд'];['годовой', 'инфляция', 'в', 'россия', 'превысить', '7', 'и', 'установить', 'новый', 'рекорд']
ВТБ фиксирует рост активности мошенников в 1,5 раза;втб фиксирует рост активности мошенников в 1 5 раза;['втб', 'фиксирует', 'рост', 'активности', 'мошенников', 'в', '1', '5', 'раза'];['втб', 'фиксировать', 'рост', 'активность', 'мошенник', 'в', '1', '5', 'раз']
Продажа «Томскстройзаказчика» пополнит бюджет города минимум на 208 млн руб;продажа томскстройзаказчика пополнит бюджет города минимум на 208 млн руб;['продажа', 'томскстройзаказчика', 'пополнит', 'бюджет', 'города', 'минимум', 'на', '208', 'млн', 'руб'];['продажа', 'томскстройзаказчика', 'пополнить', 'бюджет', 'город', 'минимум', 'на', '208', 'млн', 'руб']
Опрос: больше половины томичей считают, что умеют обращаться с деньгами;опрос больше половины томичей считают что умеют обращаться с деньгами;['опрос', 'больше', 'половины', 'томичей', 'считают', 'что', 'умеют', 'обращаться', 'с', 'деньгами'];['опрос', 'больше', 'половина', 'томич', 'считать', 'что', 'уметь', 'обращаться', 'с', 'деньга']
Свыше 11 млн руб хотят выделить из бюджета Томска на тушение мусорного полигона САХа;свыше 11 млн руб хотят выделить из бюджета томска на тушение мусорного полигона саха;['свыше', '11', 'млн', 'руб', 'хотят', 'выделить', 'из', 'бюджета', 'томска', 'на', 'тушение', 'мусорного', 'полигона', 'саха'];['свыше', '11', 'млн', 'руб', 'хотеть', 'выделить', 'из', 'бюджет', 'томск', 'на', 'тушение', 'мусорный', 'полигон', 'саха']
Власти: число томских семей, получающих выплату на первенца, выросло за год на 2 тыс;власти число томских семей получающих выплату на первенца выросло за год на 2 тыс;['власти', 'число', 'томских', 'семей', 'получающих', 'выплату', 'на', 'первенца', 'выросло', 'за', 'год', 'на', '2', 'тыс'];['власть', 'число', 'томский', 'семья', 'получать', 'выплата', 'на', 'первенец', 'вырасти', 'за', 'год', 'на', '2', 'тыс']
Рыбозавод откроет акваферму для выращивания форели и осетра в промпарке Томска;рыбозавод откроет акваферму для выращивания форели и осетра в промпарке томска;['рыбозавод', 'откроет', 'акваферму', 'для', 'выращивания', 'форели', 'и', 'осетра', 'в', 'промпарке', 'томска'];['рыбозавод', 'открыть', 'акваферму', 'для', 'выращивание', 'форель', 'и', 'осётр', 'в', 'промпарке', 'томск']
Производство колбас и сыров выросло на 20% в Томской области;производство колбас и сыров выросло на 20 в томской области;['производство', 'колбас', 'и', 'сыров', 'выросло', 'на', '20', 'в', 'томской', 'области'];['производство', 'колбаса', 'и', 'сыр', 'вырасти', 'на', '20', 'в', 'томский', 'область']
ВТБ нарастил портфель привлеченных средств клиентов среднего и малого бизнеса на 15%;втб нарастил портфель привлеченных средств клиентов среднего и малого бизнеса на 15;['втб', 'нарастил', 'портфель', 'привлеченных', 'средств', 'клиентов', 'среднего', 'и', 'малого', 'бизнеса', 'на', '15'];['втб', 'нарастить', 'портфель', 'привлечь', 'средство', 'клиент', 'средний', 'и', 'малый', 'бизнес', 'на', '15']
ВТБ запустил новый интернет-банк для предпринимателей;втб запустил новый интернет банк для предпринимателей;['втб', 'запустил', 'новый', 'интернет', 'банк', 'для', 'предпринимателей'];['втб', 'запустить', 'новый', 'интернет', 'банк', 'для', 'предприниматель']
Центробанк: реконструкция ВПП томского аэропорта ускорила инфляцию в регионе;центробанк реконструкция впп томского аэропорта ускорила инфляцию в регионе;['центробанк', 'реконструкция', 'впп', 'томского', 'аэропорта', 'ускорила', 'инфляцию', 'в', 'регионе'];['центробанк', 'реконструкция', 'впп', 'томский', 'аэропорт', 'ускорить', 'инфляция', 'в', 'регион']
Розничные цены на гречку в РФ впервые за 10 лет превысили 100 руб за килограмм;розничные цены на гречку в рф впервые за 10 лет превысили 100 руб за килограмм;['розничные', 'цены', 'на', 'гречку', 'в', 'рф', 'впервые', 'за', '10', 'лет', 'превысили', '100', 'руб', 'за', 'килограмм'];['розничный', 'цена', 'на', 'гречка', 'в', 'рф', 'впервые', 'за', '10', 'год', 'превысить', '100', 'руб', 'за', 'килограмм']
Эксперты рассказали о редких вакансиях в Томской области;эксперты рассказали о редких вакансиях в томской области;['эксперты', 'рассказали', 'о', 'редких', 'вакансиях', 'в', 'томской', 'области'];['эксперт', 'рассказать', 'о', 'редкий', 'вакансия', 'в', 'томский', 'область']
Компания «Сибагро» купила активы свинокомплекса в Курской области;компания сибагро купила активы свинокомплекса в курской области;['компания', 'сибагро', 'купила', 'активы', 'свинокомплекса', 'в', 'курской', 'области'];['компания', 'сибагро', 'купить', 'актив', 'свинокомплекс', 'в', 'курский', 'область']
Клиенты ВТБ смогут получить кредит наличными только по паспорту;клиенты втб смогут получить кредит наличными только по паспорту;['клиенты', 'втб', 'смогут', 'получить', 'кредит', 'наличными', 'только', 'по', 'паспорту'];['клиент', 'втб', 'смочь', 'получить', 'кредит', 'наличный', 'только', 'по', 'паспорт']
Томичи стали чаще жаловаться на недобросовестные продажи в банках;томичи стали чаще жаловаться на недобросовестные продажи в банках;['томичи', 'стали', 'чаще', 'жаловаться', 'на', 'недобросовестные', 'продажи', 'в', 'банках'];['томич', 'стать', 'чаще', 'жаловаться', 'на', 'недобросовестный', 'продажа', 'в', 'банк']
Эксперты рассказали, каких специалистов не хватает в Томской области;эксперты рассказали каких специалистов не хватает в томской области;['эксперты', 'рассказали', 'каких', 'специалистов', 'не', 'хватает', 'в', 'томской', 'области'];['эксперт', 'рассказать', 'какой', 'специалист', 'не', 'хватать', 'в', 'томский', 'область']
Центробанк снова повысил ключевую ставку;центробанк снова повысил ключевую ставку;['центробанк', 'снова', 'повысил', 'ключевую', 'ставку'];['центробанк', 'снова', 'повысить', 'ключевой', 'ставка']
Томскстат: полеты в Москву и лимоны больше всего подорожали в августе;томскстат полеты в москву и лимоны больше всего подорожали в августе;['томскстат', 'полеты', 'в', 'москву', 'и', 'лимоны', 'больше', 'всего', 'подорожали', 'в', 'августе'];['томскстат', 'полёт', 'в', 'москва', 'и', 'лимон', 'больше', 'всего', 'подорожать', 'в', 'август']
Цены на бензин в Томской области за август выросли на 1,6%;цены на бензин в томской области за август выросли на 1 6;['цены', 'на', 'бензин', 'в', 'томской', 'области', 'за', 'август', 'выросли', 'на', '1', '6'];['цена', 'на', 'бензин', 'в', 'томский', 'область', 'за', 'август', 'вырасти', 'на', '1', '6']
Эксперт рассказал о новом способе кражи данных россиян с сайта госуслуг;эксперт рассказал о новом способе кражи данных россиян с сайта госуслуг;['эксперт', 'рассказал', 'о', 'новом', 'способе', 'кражи', 'данных', 'россиян', 'с', 'сайта', 'госуслуг'];['эксперт', 'рассказать', 'о', 'новый', 'способ', 'кража', 'данных', 'россиянин', 'с', 'сайт', 'госуслуга']
ФАС проведет дополнительные проверки на рынке стройматериалов из-за роста цен;фас проведет дополнительные проверки на рынке стройматериалов из за роста цен;['фас', 'проведет', 'дополнительные', 'проверки', 'на', 'рынке', 'стройматериалов', 'из', 'за', 'роста', 'цен'];['фас', 'провести', 'дополнительный', 'проверка', 'на', 'рынок', 'стройматериал', 'из', 'за', 'рост', 'цена']
Россияне в августе взяли кредиты наличными на рекордную сумму;россияне в августе взяли кредиты наличными на рекордную сумму;['россияне', 'в', 'августе', 'взяли', 'кредиты', 'наличными', 'на', 'рекордную', 'сумму'];['россиянин', 'в', 'август', 'взять', 'кредит', 'наличный', 'на', 'рекордный', 'сумма']
«Роснефть» перестала владеть акциями «Томскнефти»;роснефть перестала владеть акциями томскнефти;['роснефть', 'перестала', 'владеть', 'акциями', 'томскнефти'];['роснефть', 'перестать', 'владеть', 'акция', 'томскнефть']
В Томске самые низкие цены на масло и сметану;в томске самые низкие цены на масло и сметану;['в', 'томске', 'самые', 'низкие', 'цены', 'на', 'масло', 'и', 'сметану'];['в', 'томск', 'самые', 'низкий', 'цена', 'на', 'масло', 'и', 'сметана']
Прожиточный минимум увеличится в Томской области в 2022г;прожиточный минимум увеличится в томской области в 2022г;['прожиточный', 'минимум', 'увеличится', 'в', 'томской', 'области', 'в', '2022', 'г'];['прожиточный', 'минимум', 'увеличиться', 'в', 'томский', 'область', 'в', '2022', 'г']
ВТБ увеличит размер государственной выплаты пенсионерам;втб увеличит размер государственной выплаты пенсионерам;['втб', 'увеличит', 'размер', 'государственной', 'выплаты', 'пенсионерам'];['втб', 'увеличить', 'размер', 'государственный', 'выплата', 'пенсионер']
В Томской области не хватает силовиков, продавцов и учителей;в томской области не хватает силовиков продавцов и учителей;['в', 'томской', 'области', 'не', 'хватает', 'силовиков', 'продавцов', 'и', 'учителей'];['в', 'томский', 'область', 'не', 'хватать', 'силовик', 'продавец', 'и', 'учитель']
Власти: ситуация с кадрами на томских стройках остается сложной;власти ситуация с кадрами на томских стройках остается сложной;['власти', 'ситуация', 'с', 'кадрами', 'на', 'томских', 'стройках', 'остается', 'сложной'];['власть', 'ситуация', 'с', 'кадр', 'на', 'томский', 'стройка', 'оставаться', 'сложный']
ВТБ начал выпускать детские банковские карты;втб начал выпускать детские банковские карты;['втб', 'начал', 'выпускать', 'детские', 'банковские', 'карты'];['втб', 'начать', 'выпускать', 'детский', 'банковский', 'карта']
