text;processed;tokenized;lemmatized
Проект бюджета Томской области на три года внесли в думу;проект бюджета томской области на три года внесли в думу;['проект', 'бюджета', 'томской', 'области', 'на', 'три', 'года', 'внесли', 'в', 'думу'];['проект', 'бюджет', 'томский', 'область', 'на', 'три', 'год', 'внести', 'в', 'дума']
Томская область вошла в топ-10 регионов по приросту зарплатных предложений за год;томская область вошла в топ 10 регионов по приросту зарплатных предложений за год;['томская', 'область', 'вошла', 'в', 'топ', '10', 'регионов', 'по', 'приросту', 'зарплатных', 'предложений', 'за', 'год'];['томский', 'область', 'войти', 'в', 'топ', '10', 'регион', 'по', 'прирост', 'зарплатный', 'предложение', 'за', 'год']
Траты на оборону в 2026г превысят расходы на медицину, образование и соцполитику — проект бюджета РФ;траты на оборону в 2026г превысят расходы на медицину образование и соцполитику проект бюджета рф;['траты', 'на', 'оборону', 'в', '2026', 'г', 'превысят', 'расходы', 'на', 'медицину', 'образование', 'и', 'соцполитику', 'проект', 'бюджета', 'рф'];['трата', 'на', 'оборона', 'в', '2026', 'г', 'превысить', 'расход', 'на', 'медицина', 'образование', 'и', 'соцполитику', 'проект', 'бюджет', 'рф']
В России повысят МРОТ на 20%;в россии повысят мрот на 20;['в', 'россии', 'повысят', 'мрот', 'на', '20'];['в', 'россия', 'повысить', 'мрот', 'на', '20']
НДС в России поднимут до 22%. Его начнут платить больше компаний, чем сейчас;ндс в россии поднимут до 22 его начнут платить больше компаний чем сейчас;['ндс', 'в', 'россии', 'поднимут', 'до', '22', 'его', 'начнут', 'платить', 'больше', 'компаний', 'чем', 'сейчас'];['ндс', 'в', 'россия', 'поднять', 'до', '22', 'его', 'начать', 'платить', 'больше', 'компания', 'чем', 'сейчас']
«КДВ Групп» предупредил о росте цен на свою продукцию из-за удорожания сырья;кдв групп предупредил о росте цен на свою продукцию из за удорожания сырья;['кдв', 'групп', 'предупредил', 'о', 'росте', 'цен', 'на', 'свою', 'продукцию', 'из', 'за', 'удорожания', 'сырья'];['кдв', 'группа', 'предупредить', 'о', 'рост', 'цена', 'на', 'свой', 'продукция', 'из', 'за', 'удорожание', 'сырьё']
Экспорт кедрового ореха из Томской области вырос на треть;экспорт кедрового ореха из томской области вырос на треть;['экспорт', 'кедрового', 'ореха', 'из', 'томской', 'области', 'вырос', 'на', 'треть'];['экспорт', 'кедровый', 'орех', 'из', 'томский', 'область', 'вырасти', 'на', 'треть']
Минцифры обсуждает создание аналога «Пушкинской карты» для покупки книг;минцифры обсуждает создание аналога пушкинской карты для покупки книг;['минцифры', 'обсуждает', 'создание', 'аналога', 'пушкинской', 'карты', 'для', 'покупки', 'книг'];['минцифры', 'обсуждать', 'создание', 'аналог', 'пушкинский', 'карта', 'для', 'покупка', 'книга']
СМИ: власти РФ рассматривают возможность повысить НДС, чтобы сократить дефицит бюджета;сми власти рф рассматривают возможность повысить ндс чтобы сократить дефицит бюджета;['сми', 'власти', 'рф', 'рассматривают', 'возможность', 'повысить', 'ндс', 'чтобы', 'сократить', 'дефицит', 'бюджета'];['сми', 'власть', 'рф', 'рассматривать', 'возможность', 'повысить', 'ндс', 'чтобы', 'сократить', 'дефицит', 'бюджет']
Депутаты Госдумы хотят ввести налог на сверхприбыль банков. Это принесет бюджету 200 млрд руб;депутаты госдумы хотят ввести налог на сверхприбыль банков это принесет бюджету 200 млрд руб;['депутаты', 'госдумы', 'хотят', 'ввести', 'налог', 'на', 'сверхприбыль', 'банков', 'это', 'принесет', 'бюджету', '200', 'млрд', 'руб'];['депутат', 'госдума', 'хотеть', 'ввести', 'налог', 'на', 'сверхприбыль', 'банк', 'это', 'принести', 'бюджет', '200', 'млрд', 'руб']
Бензин в Томской области продолжает дорожать. Регионы РФ сталкиваются с нехваткой топлива;бензин в томской области продолжает дорожать регионы рф сталкиваются с нехваткой топлива;['бензин', 'в', 'томской', 'области', 'продолжает', 'дорожать', 'регионы', 'рф', 'сталкиваются', 'с', 'нехваткой', 'топлива'];['бензин', 'в', 'томский', 'область', 'продолжать', 'дорожать', 'регион', 'рф', 'сталкиваться', 'с', 'нехватка', 'топливо']
Ретейлеры урезают ассортимент: на полках остаются только самые ходовые товары;ретейлеры урезают ассортимент на полках остаются только самые ходовые товары;['ретейлеры', 'урезают', 'ассортимент', 'на', 'полках', 'остаются', 'только', 'самые', 'ходовые', 'товары'];['ретейлер', 'урезать', 'ассортимент', 'на', 'полка', 'оставаться', 'только', 'самые', 'ходовой', 'товар']
Банк России третий раз подряд снизил ключевую ставку;банк россии третий раз подряд снизил ключевую ставку;['банк', 'россии', 'третий', 'раз', 'подряд', 'снизил', 'ключевую', 'ставку'];['банк', 'россия', 'третий', 'раз', 'подряд', 'снизить', 'ключевой', 'ставка']
Огурцы резко подорожали для томичей в августе;огурцы резко подорожали для томичей в августе;['огурцы', 'резко', 'подорожали', 'для', 'томичей', 'в', 'августе'];['огурец', 'резко', 'подорожать', 'для', 'томич', 'в', 'август']
Вклады в России теряют доходность: зачем банки снижают ставки;вклады в россии теряют доходность зачем банки снижают ставки;['вклады', 'в', 'россии', 'теряют', 'доходность', 'зачем', 'банки', 'снижают', 'ставки'];['вклад', 'в', 'россия', 'терять', 'доходность', 'зачем', 'банк', 'снижать', 'ставка']
Машинист и разнорабочий: эксперты назвали самые востребованные профессии в Томске;машинист и разнорабочий эксперты назвали самые востребованные профессии в томске;['машинист', 'и', 'разнорабочий', 'эксперты', 'назвали', 'самые', 'востребованные', 'профессии', 'в', 'томске'];['машинист', 'и', 'разнорабочий', 'эксперт', 'назвать', 'самые', 'востребованные', 'профессия', 'в', 'томск']
Завод по производству санфаянса появится в томской ОЭЗ;завод по производству санфаянса появится в томской оэз;['завод', 'по', 'производству', 'санфаянса', 'появится', 'в', 'томской', 'оэз'];['завод', 'по', 'производство', 'санфаянса', 'появиться', 'в', 'томский', 'оэз']
Экономика РФ охлаждается быстрее, чем ожидалось — Минэкономразвития;экономика рф охлаждается быстрее чем ожидалось минэкономразвития;['экономика', 'рф', 'охлаждается', 'быстрее', 'чем', 'ожидалось', 'минэкономразвития'];['экономика', 'рф', 'охлаждаться', 'быстрый', 'чем', 'ожидаться', 'минэкономразвития']
Лимиты в банкоматах, «вторая рука» и период охлаждения: что изменится в сфере финансов для россиян с 1 сентября;лимиты в банкоматах вторая рука и период охлаждения что изменится в сфере финансов для россиян с 1 сентября;['лимиты', 'в', 'банкоматах', 'вторая', 'рука', 'и', 'период', 'охлаждения', 'что', 'изменится', 'в', 'сфере', 'финансов', 'для', 'россиян', 'с', '1', 'сентября'];['лимиты', 'в', 'банкомат', 'второй', 'рука', 'и', 'период', 'охлаждение', 'что', 'измениться', 'в', 'сфера', 'финансов', 'для', 'россиянин', 'с', '1', 'сентябрь']
Картофель в Томской области подешевел впервые за 10 месяцев;картофель в томской области подешевел впервые за 10 месяцев;['картофель', 'в', 'томской', 'области', 'подешевел', 'впервые', 'за', '10', 'месяцев'];['картофель', 'в', 'томский', 'область', 'подешеветь', 'впервые', 'за', '10', 'месяц']
Томская область попробует списать долги по расходам на СВО;томская область попробует списать долги по расходам на сво;['томская', 'область', 'попробует', 'списать', 'долги', 'по', 'расходам', 'на', 'сво'];['томский', 'область', 'попробовать', 'списать', 'долг', 'по', 'расход', 'на', 'сво']
Стоимость колбасы в Томске оказалась самой низкой в Сибири;стоимость колбасы в томске оказалась самой низкой в сибири;['стоимость', 'колбасы', 'в', 'томске', 'оказалась', 'самой', 'низкой', 'в', 'сибири'];['стоимость', 'колбаса', 'в', 'томск', 'оказаться', 'самой', 'низкий', 'в', 'сибирь']
Первый — сам, второй — с поддержкой: маткапитал в России предложили перераспределить;первый сам второй с поддержкой маткапитал в россии предложили перераспределить;['первый', 'сам', 'второй', 'с', 'поддержкой', 'маткапитал', 'в', 'россии', 'предложили', 'перераспределить'];['первый', 'сам', 'второй', 'с', 'поддержка', 'маткапитал', 'в', 'россия', 'предложить', 'перераспределить']
Влетело в копеечку: собрать ребенка в школу стоит более 50 тыс руб;влетело в копеечку собрать ребенка в школу стоит более 50 тыс руб;['влетело', 'в', 'копеечку', 'собрать', 'ребенка', 'в', 'школу', 'стоит', 'более', '50', 'тыс', 'руб'];['влететь', 'в', 'копеечка', 'собрать', 'ребёнок', 'в', 'школа', 'стоить', 'более', '50', 'тыс', 'руб']
Производители сладостей в России поднимают цены. В чем причина повышения?;производители сладостей в россии поднимают цены в чем причина повышения;['производители', 'сладостей', 'в', 'россии', 'поднимают', 'цены', 'в', 'чем', 'причина', 'повышения'];['производитель', 'сладость', 'в', 'россия', 'поднимать', 'цена', 'в', 'что', 'причина', 'повышение']
Спрос на аренду студий в Томске вырос почти на 50% — исследование;спрос на аренду студий в томске вырос почти на 50 исследование;['спрос', 'на', 'аренду', 'студий', 'в', 'томске', 'вырос', 'почти', 'на', '50', 'исследование'];['спрос', 'на', 'аренда', 'студия', 'в', 'томск', 'вырасти', 'почти', 'на', '50', 'исследование']
Как изменилась стоимость бензина в Томской области за полгода?;как изменилась стоимость бензина в томской области за полгода;['как', 'изменилась', 'стоимость', 'бензина', 'в', 'томской', 'области', 'за', 'полгода'];['как', 'измениться', 'стоимость', 'бензин', 'в', 'томский', 'область', 'за', 'полгода']
Спрос на «вторичку» в Томске вырос на треть после снижения ключевой ставки — исследование;спрос на вторичку в томске вырос на треть после снижения ключевой ставки исследование;['спрос', 'на', 'вторичку', 'в', 'томске', 'вырос', 'на', 'треть', 'после', 'снижения', 'ключевой', 'ставки', 'исследование'];['спрос', 'на', 'вторичку', 'в', 'томск', 'вырасти', 'на', 'треть', 'после', 'снижение', 'ключевой', 'ставка', 'исследование']
Стоимость бескостной говядины в Томской области превысила 1000 руб/кг. И это не предел;стоимость бескостной говядины в томской области превысила 1000 руб кг и это не предел;['стоимость', 'бескостной', 'говядины', 'в', 'томской', 'области', 'превысила', '1000', 'руб', 'кг', 'и', 'это', 'не', 'предел'];['стоимость', 'бескостный', 'говядина', 'в', 'томский', 'область', 'превысить', '1000', 'руб', 'кг', 'и', 'это', 'не', 'предел']
Услуги ЖКХ сильнее всего подорожали в Томской области в июле;услуги жкх сильнее всего подорожали в томской области в июле;['услуги', 'жкх', 'сильнее', 'всего', 'подорожали', 'в', 'томской', 'области', 'в', 'июле'];['услуга', 'жкх', 'сильный', 'всего', 'подорожать', 'в', 'томский', 'область', 'в', 'июль']
Аренда однокомнатных квартир в Томске выросла почти на 6%;аренда однокомнатных квартир в томске выросла почти на 6;['аренда', 'однокомнатных', 'квартир', 'в', 'томске', 'выросла', 'почти', 'на', '6'];['аренда', 'однокомнатный', 'квартира', 'в', 'томск', 'вырасти', 'почти', 'на', '6']
Экспорт мороженого из Томской области в Азию вырос в 2 раза;экспорт мороженого из томской области в азию вырос в 2 раза;['экспорт', 'мороженого', 'из', 'томской', 'области', 'в', 'азию', 'вырос', 'в', '2', 'раза'];['экспорт', 'мороженое', 'из', 'томский', 'область', 'в', 'азия', 'вырасти', 'в', '2', 'раз']
Мэрия Томска возьмет кредиты на 2,6 млрд руб;мэрия томска возьмет кредиты на 2 6 млрд руб;['мэрия', 'томска', 'возьмет', 'кредиты', 'на', '2', '6', 'млрд', 'руб'];['мэрия', 'томск', 'взять', 'кредит', 'на', '2', '6', 'млрд', 'руб']
Чай, овощи и билеты в театр: что сильнее всего подорожало в Томской области?;чай овощи и билеты в театр что сильнее всего подорожало в томской области;['чай', 'овощи', 'и', 'билеты', 'в', 'театр', 'что', 'сильнее', 'всего', 'подорожало', 'в', 'томской', 'области'];['чай', 'овощи', 'и', 'билет', 'в', 'театр', 'что', 'сильный', 'всего', 'подорожать', 'в', 'томский', 'область']
Таксисты грозят уйти в «серую зону»: они требуют льгот по НДС, как в общепите;таксисты грозят уйти в серую зону они требуют льгот по ндс как в общепите;['таксисты', 'грозят', 'уйти', 'в', 'серую', 'зону', 'они', 'требуют', 'льгот', 'по', 'ндс', 'как', 'в', 'общепите'];['таксист', 'грозить', 'уйти', 'в', 'серый', 'зона', 'они', 'требовать', 'льгота', 'по', 'ндс', 'как', 'в', 'общепит']
Росту нет предела: власти Томской области предложили повысить тарифы ЖКХ в 2026г почти на 18%;росту нет предела власти томской области предложили повысить тарифы жкх в 2026г почти на 18;['росту', 'нет', 'предела', 'власти', 'томской', 'области', 'предложили', 'повысить', 'тарифы', 'жкх', 'в', '2026', 'г', 'почти', 'на', '18'];['рост', 'нет', 'предел', 'власть', 'томский', 'область', 'предложить', 'повысить', 'тариф', 'жкх', 'в', '2026', 'г', 'почти', 'на', '18']
Производство одежды в Томской области сократилось на 15%;производство одежды в томской области сократилось на 15;['производство', 'одежды', 'в', 'томской', 'области', 'сократилось', 'на', '15'];['производство', 'одежда', 'в', 'томский', 'область', 'сократиться', 'на', '15']
В Томской области на 3% вырос спрос на льготную ипотеку;в томской области на 3 вырос спрос на льготную ипотеку;['в', 'томской', 'области', 'на', '3', 'вырос', 'спрос', 'на', 'льготную', 'ипотеку'];['в', 'томский', 'область', 'на', '3', 'вырасти', 'спрос', 'на', 'льготный', 'ипотека']
Центробанк понизил ключевую ставку до 18%;центробанк понизил ключевую ставку до 18;['центробанк', 'понизил', 'ключевую', 'ставку', 'до', '18'];['центробанк', 'понизить', 'ключевой', 'ставка', 'до', '18']
На покупки в рассрочку установили лимит в 50 тыс руб;на покупки в рассрочку установили лимит в 50 тыс руб;['на', 'покупки', 'в', 'рассрочку', 'установили', 'лимит', 'в', '50', 'тыс', 'руб'];['на', 'покупка', 'в', 'рассрочка', 'установить', 'лимит', 'в', '50', 'тыс', 'руб']
Недоработка районов области оставила Томск без федеральных денег на расселение аварийного жилья;недоработка районов области оставила томск без федеральных денег на расселение аварийного жилья;['недоработка', 'районов', 'области', 'оставила', 'томск', 'без', 'федеральных', 'денег', 'на', 'расселение', 'аварийного', 'жилья'];['недоработка', 'район', 'область', 'оставить', 'томск', 'без', 'федеральный', 'деньга', 'на', 'расселение', 'аварийный', 'жильё']
От 100 тыс до 1 млн руб: в России планируют ввести штрафы за оплату криптовалютой;от 100 тыс до 1 млн руб в россии планируют ввести штрафы за оплату криптовалютой;['от', '100', 'тыс', 'до', '1', 'млн', 'руб', 'в', 'россии', 'планируют', 'ввести', 'штрафы', 'за', 'оплату', 'криптовалютой'];['от', '100', 'тыс', 'до', '1', 'млн', 'руб', 'в', 'россия', 'планировать', 'ввести', 'штраф', 'за', 'оплата', 'криптовалютой']
Томская область спишет 3,3 млрд руб бюджетных долгов;томская область спишет 3 3 млрд руб бюджетных долгов;['томская', 'область', 'спишет', '3', '3', 'млрд', 'руб', 'бюджетных', 'долгов'];['томский', 'область', 'списать', '3', '3', 'млрд', 'руб', 'бюджетный', 'долг']
Томичам для счастья нужно 226 тысяч рублей в месяц — опрос;томичам для счастья нужно 226 тысяч рублей в месяц опрос;['томичам', 'для', 'счастья', 'нужно', '226', 'тысяч', 'рублей', 'в', 'месяц', 'опрос'];['томичам', 'для', 'счастие', 'нужный', '226', 'тысяча', 'рубль', 'в', 'месяц', 'опрос']
